0,1,2,3,4,5,6
1,0,0,0,1,0,1
0,0,0,0,1,0,1
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,1,0,0
1,0,0,0,0,0,0
9,0,3,1,21,0,10
